sz002644 佛慈制药
sz002487 大金重工
sz002554 惠博普
sz002229 鸿博股份
sz002142 宁波银行
sz300310 宜通世纪
sz002299 圣农发展
sz002102 *ST冠福
sz002024 苏宁电器
sz002539 新都化工
sz300127 银河磁体
sz000527 美的电器
sz000562 宏源证券
sz000522 白云山Ａ
sz000602 金马集团
sh603100 川仪股份
sh603166 福达股份
sh603308 应流股份
sh603019 中科曙光
sh603699 纽威股份
sh603005 晶方科技
sh603006 联明股份
sh600556 慧球科技
sh603018 设计股份
sh603009 北特科技
sh000300 沪深300
sz300393 中来股份
sz300389 艾比森
sz300408 三环集团
sz300399 京天利
sz000545 金浦钛业
sz300409 道氏技术
sz300387 富邦股份
sz000038 深大通
sz300357 我武生物
sz300400 劲拓股份
sz300396 迪瑞医疗
sz000498 山东路桥
sz300386 飞天诚信
sz002715 登云股份
sz000333 美的集团
sz300366 创意信息
sz300359 全通教育
sz300371 汇中股份
sz300412 迦南科技
sz300360 炬华科技
sz300383 光环新网
sz002729 好利来
sz300378 鼎捷软件
sz002706 良信电器
sz000693 华泽钴镍
sz002709 天赐材料
sz000757 浩物股份
